barcode,itemNumber,title,cout,cin,deweyClass,bibNumber,collcode,callNumber
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-01-04 14:00:00","2016-01-27 13:36:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-01-31 13:17:00","2016-03-02 12:35:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-04-17 14:10:00","2016-05-14 13:06:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-12-08 11:42:00","2016-12-23 12:52:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-12-30 17:45:00","2016-12-31 14:43:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2017-08-13 14:11:00","2017-08-14 10:35:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2017-08-16 11:29:00","2017-08-16 11:38:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2017-08-18 15:21:00","2017-09-09 15:20:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2018-04-10 16:51:00","2018-04-10 16:57:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2018-12-30 14:42:00","2019-01-26 16:49:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2019-02-13 18:42:00","2019-02-19 18:52:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2019-08-03 10:21:00","2019-08-03 14:49:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2019-12-19 17:19:00","2019-12-21 17:45:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2020-03-04 15:36:00","2020-08-26 10:46:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2020-09-04 17:03:00","2020-11-09 10:21:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2020-11-18 16:24:00","2020-12-13 10:42:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2021-02-10 15:30:00","2021-02-24 10:18:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2021-08-12 17:57:00","2021-08-23 17:26:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2021-09-11 13:25:00","2021-09-18 13:50:00",746,119652,cs8,"746 M446F"
0000102859790,419862,"Macrame a new look at an ancient art","2006-02-11 11:32:00","2006-06-16 12:49:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-06-18 12:34:00","2006-06-25 15:55:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-06-18 12:34:00","2006-09-14 11:09:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-06-18 12:34:00","2006-08-28 12:24:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-09-15 16:47:00","2007-04-23 15:09:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-09-15 16:47:00","2006-09-15 16:55:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2006-09-15 16:47:00","2007-04-20 14:05:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2007-04-25 14:58:00","2007-10-02 12:09:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2007-04-25 14:58:00","2007-05-12 10:35:00",746,731126,cs8,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2007-10-05 10:43:00","2008-02-25 18:29:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2008-02-27 18:11:00","2008-05-21 13:17:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2008-05-21 18:06:00","2008-06-02 18:25:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2008-05-21 18:06:00","2008-09-19 12:13:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2008-09-25 14:03:00","2009-01-14 15:49:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2008-09-25 14:03:00","2008-10-08 18:12:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-07-01 15:05:00","2009-08-20 14:40:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-07-01 15:05:00","2009-07-20 16:36:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-08-27 12:28:00","2009-09-22 10:26:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-08-27 12:28:00","2009-09-17 14:11:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-08-27 12:28:00","2009-09-20 18:20:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-09-22 17:29:00","2009-09-30 18:00:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-09-22 17:29:00","2010-05-17 16:24:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2009-09-22 17:29:00","2010-06-01 17:56:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2010-06-02 12:11:00","2010-07-28 12:10:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2010-09-08 16:23:00","2010-09-29 19:46:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2010-10-15 17:13:00","2010-10-26 10:43:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2011-02-20 17:49:00","2011-07-07 13:46:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2011-07-11 17:05:00","2011-09-21 12:33:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2012-02-10 14:58:00","2012-02-28 13:35:00",746,731126,canf,"746 Ac569M"
0000102859790,419862,"Macrame a new look at an ancient art","2012-06-05 12:42:00","2012-06-28 14:30:00",746,731126,canf,"746 Ac569M"
