distinct_bib,subject,title,itemtype,deweyClass,out_bib
2150754,"Gay men Family relationships United States","man I might become gay men write about their fathers",acbk,305.38966,2150754
2150754,"Gay men United States Family relationships","man I might become gay men write about their fathers",acbk,305.38966,2150754
2150754,"Gay mens writings American","man I might become gay men write about their fathers",acbk,305.38966,2150754
2152317,"Lesbians United States Biography","Naked in the promised land",acbk,305.48892,2152317
2152395,"Gay men Fiction","devil and Daniel Silverman",acbk,,2152395
2152510,"Gay erotic fiction","Frigid tales",acbk,,2152510
2152510,"Gays Cuba Fiction","Frigid tales",acbk,,2152510
2152681,"Homosexuality Fiction","rainbow kite",acbk,,2152681
2153393,"Homosexuality Biblical teaching","New Testament and homosexuality contextual background for contemporary debate",acbk,261.83576,2153393
2153393,"Homosexuality History","New Testament and homosexuality contextual background for contemporary debate",acbk,261.83576,2153393
2153586,"Gay men Fiction","Dorian an imitation",acbk,,2153586
2153775,"Gay men France Fiction",Querelle,acbk,,2153775
2153776,"Gay men Fiction",Closer,acbk,,2153776
2153778,"Gay teenagers Fiction","Truth and lies",acbk,,2153778
2154158,"Gays writings American","Queer fear II gay horror fiction",acbk,,2154158
2154158,"Gays writings Canadian","Queer fear II gay horror fiction",acbk,,2154158
2156007,"Gay teenagers Fiction","Dream boy",acbk,,2156007
2156557,"Lesbians Fiction","Faultline a novel",acbk,,2156557
2157273,"Gays Washington State Seattle History","Mosaic no 1 life stories from isolation to community oral history from the Northwest Lesbian and Gay History Museum Project",acbk,305.90664,2157273
2157273,"Gays Washington State Seattle Identity","Mosaic no 1 life stories from isolation to community oral history from the Northwest Lesbian and Gay History Museum Project",acbk,305.90664,2157273
2157273,"Gays Washington State Seattle Interviews","Mosaic no 1 life stories from isolation to community oral history from the Northwest Lesbian and Gay History Museum Project",acbk,305.90664,2157273
2157273,"Homosexuality Washington State Seattle","Mosaic no 1 life stories from isolation to community oral history from the Northwest Lesbian and Gay History Museum Project",acbk,305.90664,2157273
2157297,"Gay men United States Biography","Cures a gay mans odyssey",acbk,306.7662,2157297
2157297,"Homosexuality Psychological aspects","Cures a gay mans odyssey",acbk,306.7662,2157297
2157297,"Psychoanalysis and homosexuality","Cures a gay mans odyssey",acbk,306.7662,2157297
2157300,"Lesbians United States Sexual behavior","Is it a date or just coffee the gay girls guide to dating sex and romance",acbk,306.7663,2157300
2157300,"Lesbians United States Social networks","Is it a date or just coffee the gay girls guide to dating sex and romance",acbk,306.7663,2157300
2157311,"Lesbian psychotherapists United States Biography","Surviving madness a therapists own story",acbk,305.48966,2157311
2157311,"Lesbians United States Biography","Surviving madness a therapists own story",acbk,305.48966,2157311
2157312,"Gay men Poetry","Surviving the moment of impact",acbk,811.6,2157312
2157329,"Lesbians Fiction","Night diving",acbk,,2157329
2157387,"Gay men Sexual behavior Fiction","Hes the one",acbk,,2157387
2157631,"Gay athletes Fiction","Full body contact sexy sweaty men of sport",acbk,,2157631
2157631,"Gay men Fiction","Full body contact sexy sweaty men of sport",acbk,,2157631
2158919,"Gays writings History and criticism","gay and lesbian literary heritage a readers companion to the writers and their works from antiquity to the present",acbk,809.89206,2158919
2158919,"Homosexuality and literature","gay and lesbian literary heritage a readers companion to the writers and their works from antiquity to the present",acbk,809.89206,2158919
2158919,"Homosexuality in literature","gay and lesbian literary heritage a readers companion to the writers and their works from antiquity to the present",acbk,809.89206,2158919
2158981,"Gay men Case studies","Scandal infamous gay controversies of the twentieth century",acbk,305.38966,2158981
2158981,"Homosexuality Public opinion History 20th century","Scandal infamous gay controversies of the twentieth century",acbk,305.38966,2158981
2159062,"Gay men Drama","In out",acvhs,,2159062
2159097,"Etiquette for gay men United States","principles the gay mans guide to getting and keeping Mr Right",acbk,646.77086,2159097
2159097,"Gay men United States Social life and customs","principles the gay mans guide to getting and keeping Mr Right",acbk,646.77086,2159097
2159120,"Lesbians Fiction","Twilight girls",acbk,,2159120
2159122,"Lesbians Fiction",Hood,acbk,,2159122
2159153,"Gay mens writings English","Gay Times book of short stories the next wave",acbk,,2159153
2159153,"Short stories Gay authors","Gay Times book of short stories the next wave",acbk,,2159153
2159154,"Gay men Fiction","Every man for himself",acbk,,2159154
2159664,"Homosexuality Fiction","My heartbeat",accas,,2159664
2159999,"Stella fictitious character Gay Fiction","Estela hada del bosque",jcbk,,2159999
2159999,"Stella Fictitious character Gay Juvenile fiction","Estela hada del bosque",jcbk,,2159999
2160232,"Lesbian students Fiction",Crush,acbk,,2160232
2160257,"Gay men Crimes against Fiction","Adrenaline a novel",acbk,,2160257
2160258,"Gay men Fiction","Tim and Pete",acbk,,2160258
2160258,"Gay men Fiction","Tim and Pete a novel",acbk,,2160258
2160259,"Gay men Fiction","queer kind of death",acbk,,2160259
2160260,"Lesbians Fiction","Best lesbian love stories 2003",acbk,,2160260
2160261,"Lesbians Fiction","Inside out",acbk,,2160261
2160263,"Lesbian erotica","mammoth book of lesbian erotica",acbk,,2160263
2160263,"Lesbians Fiction","mammoth book of lesbian erotica",acbk,,2160263
2160264,"Gay men Fiction","sand fortress",acbk,,2160264
2160264,"Gay men Fiction","sand fortress a novel",acbk,,2160264
2160265,"Lesbians Fiction","Shoulders a novel",acbk,,2160265
2160267,"Lesbians United States Sexual behavior","Early embraces III more true life stories of women describing their first lesbian experience",acbk,306.7663,2160267
2160268,"Lesbians Fiction","Time and time again",acbk,,2160268
2160269,"Lesbians Fiction","Curious wine",acbk,,2160269
2160269,"Lesbians Fiction","Curious wine a novel",acbk,,2160269
2160270,"Lesbians Fiction","Liberty Square",acbk,,2160270
2160271,"Lesbians Fiction","Apparition alley",acbk,,2160271
2160272,"Lesbians Fiction","Erotic Naiad love stories by Naiad Press authors",acbk,,2160272
2160272,"Lesbians writings American","Erotic Naiad love stories by Naiad Press authors",acbk,,2160272
2160273,"Lesbians Fiction","Electric 2 best lesbian erotic fiction",acbk,,2160273
2160274,"Lesbians Fiction","Body check erotic lesbian sports stories",acbk,,2160274
2160276,"Lesbians Fiction","Electric best lesbian erotic fiction",acbk,,2160276
2160277,"Gay men Fiction","Men for all seasons stories of sports and sex",acbk,,2160277
2160278,"Lesbians Fiction","Lady be good erotic love stories by Naiad Press authors",acbk,,2160278
2160280,"Gay men Fiction","Death claims",acbk,,2160280
2160281,"Gay men Fiction",Fadeout,acbk,,2160281
2160282,"African American gays New York State New York Fiction","If only for one nite",acbk,,2160282
2160282,"Gay men New York State New York Fiction","If only for one nite",acbk,,2160282
2160283,"Gay men Fiction","Hard erotic fiction",acbk,,2160283
2160284,"Lesbians Fiction","Home movies",acbk,,2160284
2160285,"Lesbians Fiction","On our backs the best erotic fiction",acbk,,2160285
2160286,"Lesbians Fiction","Staying the distance a novel",acbk,,2160286
2160287,"Gay men Fiction","Better angel",acbk,,2160287
2160287,"Gay youth Fiction","Better angel",acbk,,2160287
2160288,"Gay men Fiction","great urge downward",acbk,,2160288
2160289,"Gay men Fiction","measure of madness",acbk,,2160289
2160290,"Gay men Fiction",Afterlife,acbk,,2160290
2160291,"Gay men Fiction","Muscle bound other stories",acbk,,2160291
2160292,"Lesbians Fiction","solitary twist a Nell Fury mystery",acbk,,2160292
2160293,"Bisexuality in marriage Fiction","Fag hag",acbk,,2160293
2160293,"Gay men Fiction","Fag hag",acbk,,2160293
2160294,"Gay men Fiction","One dead diva a novel",acbk,,2160294
2160295,"Lesbians Fiction","Lipservice alluring new lesbian erotica",acbk,,2160295
2160295,"Lesbians writings American","Lipservice alluring new lesbian erotica",acbk,,2160295
2160297,"Gay men Illinois Chicago Fiction","only good priest",acbk,,2160297
2160598,"Lesbian teenagers Fiction","Bird eyes",acbk,,2160598
2161266,"Lesbianism United States","lesbian sex book",acbk,613.96086,2161266
2161266,"Lesbians Sexual behavior","lesbian sex book",acbk,613.96086,2161266
2161266,"Sex instruction for lesbians","lesbian sex book",acbk,613.96086,2161266
2161268,"Sex instruction for gay men","Sex tips for gay guys",acbk,613.96086,2161268
2161302,"Gay men Sexual behavior Vatican City Case studies","City of secrets the truth behind the murders at the Vatican",acbk,355.00945,2161302
2161302,"Gay men Vatican City Sexual behavior Case studies","City of secrets the truth behind the murders at the Vatican",acbk,355.00945,2161302
2161576,"Gay men United States Biography","Hope a story of triumph",acbk,362.19697,2161576
2161851,"Lesbians Fiction","We came all the way from Cuba so you could dress like this stories",acbk,,2161851
2161853,"Lesbians Fiction","Gulf dreams",acbk,,2161853
2162775,"Gay men Fiction","book of salt",acbk,,2162775
2162873,"Gay men Family relationships","Gay warrior transforming betrayal into wisdom",acbk,305.38966,2162873
2162873,"Gay men Psychology","Gay warrior transforming betrayal into wisdom",acbk,305.38966,2162873
2162873,"Gay men Religious life","Gay warrior transforming betrayal into wisdom",acbk,305.38966,2162873
2163370,"Homosexuality Fiction","Gravel queen",acbk,,2163370
2163370,"Lesbians Fiction","Gravel queen",acbk,,2163370
2164036,"Gay youth Biography","shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,"Gay youth Portraits","shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,Gays,"shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,"Gays Juvenile literature","shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,Homosexuality,"shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,Lesbians,"shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164036,"Lesbians Juvenile literature","shared heart portraits and stories celebrating lesbian gay and bisexual young people",acbk,305.23508,2164036
2164417,"Gay men Fiction","Three Junes",acbk,,2164417
2164612,"Homosexuality Fiction","Geography Club",acbk,,2164612
2164612,"Homosexuality Juvenile fiction","Geography Club",acbk,,2164612
2164911,"Lesbians Florida Miami Fiction","Red sky at morning",acbk,,2164911
2165495,"Gay actors United States Miscellanea","Whats your gay lesbian entertainment I Q the show biz quiz about whats in and whos out",acbk,792.02808,2165495
2165495,"Gay musicians United States Miscellanea","Whats your gay lesbian entertainment I Q the show biz quiz about whats in and whos out",acbk,792.02808,2165495
2166280,"Gay men Fiction","lost language of cranes",acbk,,2166280
2166824,"Gay men Sexual behavior","Sex terror erotic misadventures in pop culture",acbk,306.7,2166824
2166824,Homosexuality,"Sex terror erotic misadventures in pop culture",acbk,306.7,2166824
2166825,"Sex instruction for gay men","Tantra for gay men",acbk,613.96,2166825
2166957,"Lesbians United States Fiction","ghost in the closet a Hardly Boys mystery",acbk,,2166957
2167128,"Gay men Fiction","Rebel yell 2 more stories of contemporary southern gay men",acbk,,2167128
2167128,"Gay mens writings American","Rebel yell 2 more stories of contemporary southern gay men",acbk,,2167128
2167345,"Gay men Fiction","single man",acbk,,2167345
2167812,"Gay liberation movement Washington State Seattle History","Gay Seattle stories of exile and belonging",acbk,305.90664,2167812
2167812,"Gay rights Washington State Seattle History","Gay Seattle stories of exile and belonging",acbk,305.90664,2167812
2167812,"Gays Washington State Seattle Social conditions","Gay Seattle stories of exile and belonging",acbk,305.90664,2167812
2167870,"Lesbians Fiction","Cyanide Wells",acbk,,2167870
2167957,"Gay men Crimes against Fiction","fountain filled with blood",acbk,,2167957
2168171,"Gay couples United States","Affirmative gay relationships key steps in finding a life partner",acbk,646.77086,2168171
2168171,"Gay male couples United States","Affirmative gay relationships key steps in finding a life partner",acbk,646.77086,2168171
2169479,"Gays Pennsylvania Pittsburgh Drama","Queer as folk The complete second season",acvhs,,2169479
2169485,"Gays Pennsylvania Pittsburgh Drama","Queer as folk The complete second season",acvhs,,2169485
2169486,"Gays Pennsylvania Pittsburgh Drama","Queer as folk The complete second season",acvhs,,2169486
2169700,"Gay men Drama","Thief river",acbk,812.54,2169700
2169700,"Psychoanalysis and homosexuality","Thief river",acbk,812.54,2169700
2170193,"Gay men Fiction","It takes two a novel",acbk,,2170193
2170220,"Gay men Scotland Glasgow Fiction","cutting room",acbk,,2170220
2170224,"Gay teenagers Fiction","Leave myself behind",acbk,,2170224
2170519,"Gay men Louisiana New Orleans Fiction","Bourbon Street blues",acbk,,2170519
2171246,Lesbianism,"Lesbian love and relationships",acbk,306.763,2171246
2171246,Lesbians,"Lesbian love and relationships",acbk,306.763,2171246
2172427,"Lesbians Fiction",unicorn,acbk,,2172427
2172545,"Gay men Fiction","Tongue tied",acbk,,2172545
2172633,"Gay men Fiction","Man about town",acbk,,2172633
2172771,"Gay men Fiction","In Claras hands",acbk,,2172771
2172784,"Lesbians Fiction","Chasing lightning",acbk,,2172784
2173036,"Gay men France Paris Fiction","In the absence of men",acbk,,2173036
2173117,"Homosexuality Fiction","Kissing Kate",acbk,,2173117
2173117,"Lesbians Fiction","Kissing Kate",acbk,,2173117
2174405,"Lesbians Fiction","Keeping you a secret a novel",acbk,,2174405
2175675,"Homosexuality in motion pictures","celluloid closet homosexuality in the movies",acbk,791.43653,2175675
2175900,"Gay men Fiction","Drawing blood",acbk,,2175900
2176491,"Gay college students United States","crimson letter Harvard homosexuality and the shaping of American culture",acbk,305.90664,2176491
2176491,"Gay college teachers United States","crimson letter Harvard homosexuality and the shaping of American culture",acbk,305.90664,2176491
2176491,"Gays Education Higher United States","crimson letter Harvard homosexuality and the shaping of American culture",acbk,305.90664,2176491
2176491,"Gays United States","crimson letter Harvard homosexuality and the shaping of American culture",acbk,305.90664,2176491
2176491,"Homosexuality and education United States","crimson letter Harvard homosexuality and the shaping of American culture",acbk,305.90664,2176491
2177481,"Gay men Fiction","mad man",acbk,,2177481
2177681,"Homosexuality Fiction","Rainbow boys",acbk,,2177681
2177681,"Homosexuality Juvenile fiction","Rainbow boys",acbk,,2177681
2178359,"Gay men United States Biography","Digressions on some poems by Frank OHara",acbk,811.54,2178359
2178364,"Homosexuality in motion pictures","Screened out playing gay in Hollywood from Edison to Stonewall",acbk,791.43653,2178364
2178916,"Gays Latin America Family relationships Case studies","Conversaciones relatos de padres y madres de hijas lesbianas e hijos gay",acbk,306.76609,2178916
2178953,"Homosexuality Drama","Segunda piel Second skin",acvhs,,2178953
2178954,"Homosexuality Drama","Segunda piel Second skin",acdvd,,2178954
2179339,"Gay men Fiction",Christopher,acbk,,2179339
2179460,"Gay fathers Family relationships United States","Gay dads a celebration of gay fatherhood",acbk,306.8742,2179460
2179460,"Gay fathers United States Case studies","Gay dads a celebration of gay fatherhood",acbk,306.8742,2179460
2179460,"Gay fathers United States Family relationships","Gay dads a celebration of gay fatherhood",acbk,306.8742,2179460
2179495,"Gay communities New York State New York History 20th century","Young man from the provinces a gay life before Stonewall",acbk,,2179495
2179495,"Gay community New York State New York History 20th century","Young man from the provinces a gay life before Stonewall",acbk,,2179495
2179495,"Gay men New York State New York Biography","Young man from the provinces a gay life before Stonewall",acbk,,2179495
2180453,"Lesbians Humor","Sex lies and stereotypes",acbk,306.7663,2180453
2181470,"Gay couples United States Case studies","Lesbians in committed relationships extraordinary couples ordinary lives",acbk,305.48966,2181470
2181470,"Lesbians United States Case studies","Lesbians in committed relationships extraordinary couples ordinary lives",acbk,305.48966,2181470
2181501,"Gay men Fiction","Private eyes",acbk,,2181501
2181561,"Bisexuals United States Juvenile literature","GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2181561,"Gay teenagers United States Juvenile literature","GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2181561,Homosexuality,"GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2181561,"Homosexuality Juvenile literature","GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2181561,"Homosexuality United States Juvenile literature","GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2181561,"Lesbian teenagers United States Juvenile literature","GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",acbk,306.766,2181561
2182277,"Gay athletes United States Biography","Going the other way lessons from a life in and out of major league baseball",acbk,796.35709,2182277
2182326,"Gay men Fiction",Spiral,acbk,,2182326
2182334,"Gay youth Fiction","beginning of calamities a novel",acbk,,2182334
2182399,"Gay men Fiction","Where the boys are",acbk,,2182399
2182420,"Jewish lesbians Fiction","Love and other ruins",acbk,,2182420
2182530,"Lesbian couples","Buying dad one womans search for the perfect sperm donor",acbk,306.87,2182530
2182619,"Gay men in literature","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Gay men in literature Bibliography","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Homosexuality and literature","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Homosexuality and literature Bibliography","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Homosexuality Male in literature","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Homosexuality Male in literature Bibliography","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Male homosexuality in literature","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182619,"Male homosexuality in literature Bibliography","Lost gay novels a reference guide to fifty works of fiction from the first half of the twentieth century",acbk,813.52099,2182619
2182659,"Gay parents United States","Following Foo the electronic adventures of the chestnut man",acbk,792.02809,2182659
2182852,"Gay men United States Biography","Men who loved me",acbk,,2182852
2182853,"Gay men United States Biography","Ambidextrous the secret lives of children",acbk,,2182853
2183247,"Gays in literature","Staging desire queer readings of American theater history",acbk,812.00935,2183247
2183247,"Homosexuality and literature United States History","Staging desire queer readings of American theater history",acbk,812.00935,2183247
2183273,"Gay and lesbian studies","Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183273,"Gays Identity","Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183273,"Gays Social life and customs","Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183273,Homosexuality,"Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183273,"Lesbians Identity","Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183273,"Lesbians Social life and customs","Out in theory the emergence of lesbian and gay anthropology",acbk,305.90664,2183273
2183364,"Gay men Fiction","Every nine seconds",acbk,,2183364
2183519,"Gay men Drama","Forbidden acts pioneering gay lesbian plays of the twentieth century",acbk,808.82008,2183519
2183519,"Gays writings","Forbidden acts pioneering gay lesbian plays of the twentieth century",acbk,808.82008,2183519
2183519,"Lesbians Drama","Forbidden acts pioneering gay lesbian plays of the twentieth century",acbk,808.82008,2183519
2185117,"Gays Recreation California Disneyland","Queens in the kingdom the ultimate gay and lesbian guide to the Disney theme parks",acbk,791.068,2185117
2185117,"Gays Recreation Florida Walt Disney World","Queens in the kingdom the ultimate gay and lesbian guide to the Disney theme parks",acbk,791.068,2185117
2185732,"Gay rights Religious aspects Christianity","Love the sin sexual regulation and the limits of religious tolerance",acbk,291.17835,2185732
2185732,"Gay rights United States","Love the sin sexual regulation and the limits of religious tolerance",acbk,291.17835,2185732
2185732,"Homosexuality Government policy United States","Love the sin sexual regulation and the limits of religious tolerance",acbk,291.17835,2185732
2185732,"Homosexuality Religious aspects Christianity","Love the sin sexual regulation and the limits of religious tolerance",acbk,291.17835,2185732
2185750,"Gays California San Francisco History","Wide open town a history of queer San Francisco to 1965",acbk,305.90664,2185750
2185751,"Gay rights","Everyday activism a handbook for lesbian gay and bisexual people and their allies",acbk,305.90664,2185751
2185751,"Gays Political activity","Everyday activism a handbook for lesbian gay and bisexual people and their allies",acbk,305.90664,2185751
2186099,"Gay men Health and hygiene","Love in the time of HIV the gay mans guide to sex dating and relationships",acbk,306.7662,2186099
2186099,"Gay men Life skills guides","Love in the time of HIV the gay mans guide to sex dating and relationships",acbk,306.7662,2186099
2186099,"Gay men Sexual behavior","Love in the time of HIV the gay mans guide to sex dating and relationships",acbk,306.7662,2186099
2186136,Lesbianism,"Femme butch new considerations of the way we want to go",acbk,305.48966,2186136
2186136,Lesbians,"Femme butch new considerations of the way we want to go",acbk,305.48966,2186136
2186136,"Lesbians Identity","Femme butch new considerations of the way we want to go",acbk,305.48966,2186136
2186412,"Lesbians Comic books strips etc","Complete strangers in paradise Volume 2",acbk,741.5973,2186412
2186426,"Lesbians Comic books strips etc","Strangers in paradise my other life",acbk,741.5973,2186426
2186427,"Lesbians Comic books strips etc","Strangers in paradise sanctuary",acbk,741.5973,2186427
2186428,"Lesbians Comic books strips etc","Strangers in paradise tropic of desire",acbk,741.5973,2186428
2186512,"Lesbians Fiction","Damn straight a Lillian Byrd crime story",acbk,,2186512
2186554,"Lesbians Germany Drama","AimÃ¢Â€Âše Jaguar",acvhs,,2186554
2186953,"Gays Miscellanea","Gay witchcraft empowering the tribe",acbk,133.43086,2186953
2187441,"Lesbians Fiction","Best short stories of LeslÃ¢Â€Âša Newman",acbk,,2187441
2188233,"Lesbians Fiction","To the edge",acbk,,2188233
2188247,"Norgay Jamling Tenzing","Everest 50 years on the mountain",acvhs,796.52209,2188247
2188612,"Gay men England Birmingham Fiction","blue mask",acbk,,2188612
2188678,"Gay men Psychology","Boyfriend 101 a gay guys guide to dating romance and finding true love",acbk,305.38966,2188678
2188678,"Gay men Social life and customs","Boyfriend 101 a gay guys guide to dating romance and finding true love",acbk,305.38966,2188678
2188686,"Gay adoption","Fatherhood for gay men an emotional and practical guide to becoming a gay dad",acbk,306.8742,2188686
2188686,"Gay fathers","Fatherhood for gay men an emotional and practical guide to becoming a gay dad",acbk,306.8742,2188686
2189012,"Homosexuality Male","joy of gay sex",acbk,613.96086,2189012
2189012,"Male homosexuality","joy of gay sex",acbk,613.96086,2189012
2189012,"Sex instruction for gay men","joy of gay sex",acbk,613.96086,2189012
2190636,"Enola Gay Bomber","Hiroshima why the bomb was dropped",acdvd,940.5425,2190636
2190737,"Homosexuality Male Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2190737
2190737,"Lesbianism Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2190737
2190737,"Male homosexuality Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2190737
2191602,"Gays Identity","Beyond the closet the transformation of gay and lesbian life",acbk,306.766,2191602
2191602,Homosexuality,"Beyond the closet the transformation of gay and lesbian life",acbk,306.766,2191602
2191602,"Lesbians Identity","Beyond the closet the transformation of gay and lesbian life",acbk,306.766,2191602
2191644,"Children of gay parents","lesbian parenting book a guide to creating families and raising children",acbk,649.10866,2191644
2191644,"Gay parents","lesbian parenting book a guide to creating families and raising children",acbk,649.10866,2191644
2191644,"Lesbian mothers","lesbian parenting book a guide to creating families and raising children",acbk,649.10866,2191644
2191770,"Children of gay parents Fiction","ABC a family alphabet book",jcbk,,2191770
2191770,"Children of gay parents Juvenile fiction","ABC a family alphabet book",jcbk,,2191770
2191770,"Gay fathers Fiction","ABC a family alphabet book",jcbk,,2191770
2191770,"Gay fathers Juvenile fiction","ABC a family alphabet book",jcbk,,2191770
2191770,"Lesbian mothers Fiction","ABC a family alphabet book",jcbk,,2191770
2191770,"Lesbian mothers Juvenile fiction","ABC a family alphabet book",jcbk,,2191770
2191774,"Children of gay parents Fiction","Felicias favorite story",jcbk,,2191774
2191774,"Children of gay parents Juvenile fiction","Felicias favorite story",jcbk,,2191774
2191774,"Lesbian mothers Fiction","Felicias favorite story",jcbk,,2191774
2191774,"Lesbian mothers Juvenile fiction","Felicias favorite story",jcbk,,2191774
2192215,"Lesbians Fiction","dictionary of failed relationships 26 tales of love gone wrong",acbk,,2192215
2192285,"Gay men Sexual behavior Fiction","Gay blades",acbk,,2192285
2192439,"Gays New York State New York Portraits","last Sunday in June",acbk,779.93067,2192439
2193002,"Gay men","Dating the Greek gods empowering spiritual messages on sex and love creativity and wisdom",acbk,292.2113,2193002
2193012,"Gaye Marvin","Marvin Gaye my brother",acbk,782.42164,2193012
2193097,"African American gays Biography","Brother outsider the life of Bayard Rustin",acvhs,323.1196,2193097
2193443,"Gay men Fiction","Mister Sandman a novel",acbk,,2193443
2193443,"Lesbians Fiction","Mister Sandman a novel",acbk,,2193443
2193496,Homosexuality,Homosexuality,acbk,306.766,2193496
2193726,"Gay men Family relationships","Queer son a film",acvhs,305.90664,2193726
2193726,"Lesbians Family relationships","Queer son a film",acvhs,305.90664,2193726
2193726,"Parents of gays","Queer son a film",acvhs,305.90664,2193726
2193790,"Lesbians Alaska Fiction",Mush,acbk,,2193790
2193793,"Lesbians England London Fiction","touch typist",acbk,,2193793
2194083,"Gay men Fiction","concrete sky",acbk,,2194083
2194560,"Gay men Fiction","Gay resort murder shock",acbk,,2194560
2195349,"Gay men Germany Biography","men with the pink triangle the true life and death story of homosexuals in the Nazi death camps",acbk,940.54724,2195349
2195349,"Homosexuality Male Germany","men with the pink triangle the true life and death story of homosexuals in the Nazi death camps",acbk,940.54724,2195349
2195349,"Male homosexuality Germany","men with the pink triangle the true life and death story of homosexuals in the Nazi death camps",acbk,940.54724,2195349
2195474,"Homosexuality Male Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195474
2195474,"Lesbianism Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195474
2195474,"Male homosexuality Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195474
2195518,"Homosexuality Male Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195518
2195518,"Lesbianism Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195518
2195518,"Male homosexuality Pennsylvania Pittsburgh Drama","Queer as folk",acvhs,,2195518
2196165,"Gay men Crimes against Fiction","Everyone dies a Kevin Kerney novel",acbk,,2196165
2197109,Lesbianism,"literature of lesbianism a historical anthology from Ariosto to Stonewall",acbk,808.80353,2197109
2197109,"Lesbians Literary collections","literature of lesbianism a historical anthology from Ariosto to Stonewall",acbk,808.80353,2197109
2197109,"Lesbians writings","literature of lesbianism a historical anthology from Ariosto to Stonewall",acbk,808.80353,2197109
2197831,"Gay men Fiction","Last summer",acbk,,2197831
2197927,"Gay teenagers Poetry","See what goes on behind my masks",acbk,811.60809,2197927
2197927,"Gays writings American","See what goes on behind my masks",acbk,811.60809,2197927
2198094,"Gays Nazi persecution Juvenile literature","forgotten victims of the Holocaust",jcbk,940.5318,2198094
2198193,"Gay youth Drama","goat or Who is Sylvia notes toward a definition of tragedy",acbk,812.54,2198193
2198523,"Gay poets Washington State Drama","business of fancydancing",acdvd,,2198523
2198524,"Gay poets Washington State Drama","business of fancydancing",acvhs,,2198524
2198746,"Lesbians Comic books strips etc","Strangers in paradise brave new world",acbk,741.5973,2198746
2198747,"Lesbians Comic books strips etc","Strangers in paradise child of rage",acbk,741.5973,2198747
2198750,"Lesbians Comic books strips etc","Strangers in paradise heart in hand",acbk,741.5973,2198750
2198751,"Gay men United States Miscellanea","Is it a choice answers to 300 of the most frequently asked questions about gay and lesbian people",acbk,305.90664,2198751
2198751,"Homosexuality United States Miscellanea","Is it a choice answers to 300 of the most frequently asked questions about gay and lesbian people",acbk,305.90664,2198751
2198751,"Lesbians United States Miscellanea","Is it a choice answers to 300 of the most frequently asked questions about gay and lesbian people",acbk,305.90664,2198751
2198752,"Lesbians Comic books strips etc","Strangers in paradise love me tender",acbk,741.5973,2198752
2198758,"Lesbians Comic books strips etc","Complete strangers in paradise Volume three part one",acbk,741.5973,2198758
2198883,"Lesbians Great Britain Biography","Love in good time a memoir",acbk,,2198883
2198962,"Gay men Fiction","With you in spirit a novel",acbk,,2198962
2199000,"Gay men Fiction","Wearing black to the white party",acbk,,2199000
