distinct_bib,subject,title,itemtype,deweyClass,out_bib
214525,"Homosexuality United States Public opinion","Gayspeak gay male lesbian communication",acbk,306.76,214525
259066,"Gay men United States","Gay and gray the older homosexual man",acbk,306.76,259066
273876,Homosexuality,"Homosexuality a cross cultural approach",acbk,176,273876
300680,"Gay liberation movement United States History","Sexual politics sexual communities the making of a homosexual minority in the United States 1940 1970",acbk,306.76609,300680
347706,"Gay teenagers United States Case studies","One teenager in ten writings by gay and lesbian youth",acbk,306.766,347706
350480,Homosexuality,Corydon,acbk,306.766,350480
354299,"Gay men Fiction","Mae West is dead recent lesbian and gay fiction",acbk,,354299
354299,"Gays writings","Mae West is dead recent lesbian and gay fiction",acbk,,354299
354299,"Lesbians Fiction","Mae West is dead recent lesbian and gay fiction",acbk,,354299
354299,"Lesbians writings","Mae West is dead recent lesbian and gay fiction",acbk,,354299
363946,"Gay bars Massachusetts Fiction",Slate,acbk,,363946
370618,"Homosexuality Fiction","boys on the rock",acbk,,370618
372997,Lesbianism,"Sister outsider essays and speeches",acbk,814.54,372997
374489,"Homosexuality Miscellanea","Another mother tongue gay words gay worlds",acbk,306.766,374489
374489,"Homosexuality Terminology","Another mother tongue gay words gay worlds",acbk,306.766,374489
374489,"Lesbianism Miscellanea","Another mother tongue gay words gay worlds",acbk,306.766,374489
374489,"Lesbians United States Psychology","Another mother tongue gay words gay worlds",acbk,306.766,374489
379628,"Homosexuality and literature Great Britain","memoirs of John Addington Symonds",acbk,,379628
381196,"Gay men Poetry","bunch of keys selected poems",acbk,895.615,381196
382995,"Gay men Drama","Gay plays",acbk,822.914,382995
382995,"Gay mens writings English","Gay plays",acbk,822.914,382995
387587,"Lesbian nuns United States Biography","Lesbian nuns breaking silence",acbk,255.90088,387587
388673,"Homosexuality and literature England History","Such is my love a study of Shakespeares sonnets",acbk,821.3,388673
389781,"Rivers Gayle","specialist revelations of a counterterrorist",acbk,364.1524,389781
390710,"Lesbian nuns Italy Biography","Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,,390710
390710,"Lesbianism History","Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,,390710
390710,"Lesbians Attitudes","Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,,390710
393327,"Homosexuality Religious aspects Christianity","Beyond rejection the Church homosexuality and hope",acbk,261.83576,393327
396307,"Lesbians Great Britain Biography","Una Troubridge the friend of Radclyffe Hall",acbk,,396307
399335,"Gay men New York State Albany Fiction","Ice blues",acbk,,399335
400595,"Hansen Gaylen C 1921 Exhibitions","Gaylen Hansen the paintings of a decade 1975 1985",acbk,759.13,400595
401660,"Gay men Massachusetts Boston Fiction",Catholic,acbk,,401660
404647,"Gay men England London Biography","naked civil servant",acbk,,404647
406402,"Male homosexuality Cross cultural studies","Male homosexuality in four societies Brazil Guatemala the Philippines and the United States",acbk,306.7662,406402
408434,"Gay men Washington D C Biography","gentleman from Maryland the conscience of a gay conservative",acbk,,408434
410681,"Abused lesbians United States","Naming the violence speaking out about lesbian battering",acbk,306.7663,410681
410681,"Lesbians United States Psychology","Naming the violence speaking out about lesbian battering",acbk,306.7663,410681
412606,"Gays United States Case studies","Cities on a hill a journey through contemporary American cultures",acbk,307.0973,412606
413090,"Gay men United States Fiction","lost language of cranes",acbk,,413090
414047,"Gay clergy United States Biography","Gay priest an inner journey",acbk,283.3,414047
414047,"Homosexuality Religious aspects Christianity","Gay priest an inner journey",acbk,283.3,414047
419326,"Gay men United States Interviews","Conversations with my elders",acbk,,419326
426158,"Lesbianism Great Britain","ladies of Llangollen a study in romantic friendship",acbk,,426158
426158,"Lesbians Great Britain Biography","ladies of Llangollen a study in romantic friendship",acbk,,426158
433868,"Gay liberation movement History","rise of a gay and lesbian movement",acbk,306.76609,433868
433868,"Homosexuality History","rise of a gay and lesbian movement",acbk,306.76609,433868
434200,"Gays in literature","We can always call them Bulgarians the emergence of lesbians and gay men on the American stage",acbk,792.09747,434200
434200,"Homosexuality Drama","We can always call them Bulgarians the emergence of lesbians and gay men on the American stage",acbk,792.09747,434200
