distinct_bib,subject,out_bib,title,itemtype,deweyClass
1917088,"Gay men Canada Fiction",1917088,"Queer view mirror 2 lesbian gay short short fiction",acbk,
1917088,"Gays writings Canadian",1917088,"Queer view mirror 2 lesbian gay short short fiction",acbk,
1917088,"Lesbians Canada Fiction",1917088,"Queer view mirror 2 lesbian gay short short fiction",acbk,
1917091,"Gay men Sexual behavior Fiction",1917091,"Run no more",acbk,
1919022,"African American gays",1919022,"Tongues untied",acvhs,305.9
1919635,"Lesbians Fiction",1919635,Bittersweet,acbk,
1919953,"Gay men",1919953,"Way to go Smith",acbk,
1919953,"Gays Identity",1919953,"Way to go Smith",acbk,
1919953,"Homosexuality Male",1919953,"Way to go Smith",acbk,
1919953,"Male homosexuality",1919953,"Way to go Smith",acbk,
1919959,"Lesbianism United States",1919959,"Restricted access lesbians on disability",acbk,362.4086
1919959,"Lesbians United States",1919959,"Restricted access lesbians on disability",acbk,362.4086
1920139,"Lesbians Fiction",1920139,Tea,acbk,
1920139,"Lesbians Fiction",1920139,"Tea a novel",acbk,
1920258,"Lesbians Biography",1920258,"Queen of Whale Cay",acbk,
1920503,"African American lesbians Biography",1920503,"litany for survival the life and work of Audre Lorde",acvhs,811.54
1920601,"Gay men Fiction",1920601,Lawnboy,acbk,
1920601,"Gay youth Family relationships Fiction",1920601,Lawnboy,acbk,
1921071,"Gay college teachers California Los Angeles Fiction",1921071,"book of lies",acbk,
1921071,"Gay students California Los Angeles Fiction",1921071,"book of lies",acbk,
1921783,"Homosexuality and literature England History 19th century",1921783,"Victorian Sappho",acbk,821.809
1921784,"Lesbianism in art",1921784,"Strange sisters the art of lesbian pulp fiction 1949 1969",acbk,741.64086
1921784,"Lesbianism in literature",1921784,"Strange sisters the art of lesbian pulp fiction 1949 1969",acbk,741.64086
1921825,"Gay men United States Poetry",1921825,Diva,acbk,811.54
1921825,"Gays Identity Poetry",1921825,Diva,acbk,811.54
1921825,"Hispanic American gays Poetry",1921825,Diva,acbk,811.54
1922275,"Lesbians Fiction",1922275,"Girls will be girls a novella and short stories",acbk,
1923668,"Gay men Diseases",1923668,"crisis of desire AIDS and the fate of gay brotherhood",acbk,362.19697
1923921,"Gay men Poetry",1923921,Wrong,acbk,811.54
1924027,"Gay mens writings American History and criticism Theory etc",1924027,"Shorter views queer thoughts the politics of the paraliterary",acbk,814.54
1924027,"Homosexuality and literature United States History 20th century",1924027,"Shorter views queer thoughts the politics of the paraliterary",acbk,814.54
1924786,"Gay men and musicals",1924786,"Something for the boys musical theater and gay culture",acbk,782.14086
1925347,"Lesbianism Encyclopedias",1925347,"Lesbian histories and cultures an encyclopedia",acbk,306.7663
1925347,"Lesbians Encyclopedias",1925347,"Lesbian histories and cultures an encyclopedia",acbk,306.7663
1925509,"Lesbians United States Political activity",1925509,"This is what lesbian looks like dyke activists take on the 21st century",acbk,306.7663
1925616,"Gay men Australia Fiction",1925616,"Pussys bow",acbk,
1925825,"Gay men",1925825,"Looking for brothers",acbk,306.7662
1925825,"Homosexuality Male",1925825,"Looking for brothers",acbk,306.7662
1925825,"Male homosexuality",1925825,"Looking for brothers",acbk,306.7662
1926433,"Gay men Islamic countries Sexual behavior",1926433,"Sexuality and eroticism among males in Moslem societies",acbk,306.7662
1926433,"Homosexuality Male Islamic countries",1926433,"Sexuality and eroticism among males in Moslem societies",acbk,306.7662
1927280,"Gay men United States Fiction",1927280,"Boy culture",acbk,
1928356,"Gay couples California San Francisco",1928356,"No place like home relationships and family life among lesbians and gay men",acbk,306.848
1928356,"Gays California San Francisco Family relationships",1928356,"No place like home relationships and family life among lesbians and gay men",acbk,306.848
1928356,"Gays Family relationships California San Francisco",1928356,"No place like home relationships and family life among lesbians and gay men",acbk,306.848
1928372,"Homosexuality and motion pictures",1928372,"Tinker Belles and evil queens the Walt Disney Company from the inside out",acbk,384.80657
1928464,"Gay men in art",1928464,"James Bidgood",acbk,779.28
1929823,"Christian gays",1929823,"More than welcome learning to embrace gay lesbian bisexual and transgendered persons in the church",acbk,261.83576
1929823,"Homosexuality Religious aspects Christianity",1929823,"More than welcome learning to embrace gay lesbian bisexual and transgendered persons in the church",acbk,261.83576
1931867,"Gay men Israel Biography",1931867,"Independence park the lives of gay men in Israel",acbk,307.7662
1932228,"Gays United States Biography",1932228,"Love won out how Gods love helped two people leave homosexuality and find each other",acbk,261.83556
1932228,"Homosexuality Religious aspects Christianity",1932228,"Love won out how Gods love helped two people leave homosexuality and find each other",acbk,261.83556
1932391,"Lesbian mothers Biography",1932391,"Janet my mother and me a memoir of growing up with Janet Flanner and Natalia Danesi Murray",acbk,
1932391,"Lesbians France Biography",1932391,"Janet my mother and me a memoir of growing up with Janet Flanner and Natalia Danesi Murray",acbk,
1932391,"Lesbians United States Biography",1932391,"Janet my mother and me a memoir of growing up with Janet Flanner and Natalia Danesi Murray",acbk,
1932402,"Lesbians New York State New York Fiction",1932402,"Every time we say goodbye",acbk,
1932580,"Lesbians United States Drama",1932580,"I Carmelita Tropicana performing between cultures",acbk,812.54
1933528,"Gay actors New York State New York Fiction",1933528,"Leaps of faith",acbk,
1933528,"Gay men New York State New York Fiction",1933528,"Leaps of faith",acbk,
1935322,"Gay liberation movement History Dictionaries",1935322,"Historical dictionary of the gay liberation movement gay men and the quest for social justice",acbk,305.90664
1935659,"Gays Legal status laws etc United States",1935659,"constitutional underclass gays lesbians and the failure of class based equal protection",acbk,342.73087
1935659,"Homosexuality Law and legislation United States",1935659,"constitutional underclass gays lesbians and the failure of class based equal protection",acbk,342.73087
1935659,"Lesbians Legal status laws etc United States",1935659,"constitutional underclass gays lesbians and the failure of class based equal protection",acbk,342.73087
1935910,"Gay couples United States Biography",1935910,"When love lasts forever male couples celebrate commitment",acbk,306.7662
1935910,"Gay male couples United States Biography",1935910,"When love lasts forever male couples celebrate commitment",acbk,306.7662
1935939,"Lesbians in literature",1935939,"Passionate communities reading lesbian resistance in Jane Rules fiction",acbk,813.54
1935939,"Lesbians writings Canadian History and criticism",1935939,"Passionate communities reading lesbian resistance in Jane Rules fiction",acbk,813.54
1935944,"Homosexuality and literature England History 18th century",1935944,"Invisible relations representations of female intimacy in the Age of Enlightenment",acbk,820.93538
1935944,"Homosexuality and literature France History 18th century",1935944,"Invisible relations representations of female intimacy in the Age of Enlightenment",acbk,820.93538
1935944,"Lesbianism England History 18th century",1935944,"Invisible relations representations of female intimacy in the Age of Enlightenment",acbk,820.93538
1935944,"Lesbianism France History 18th century",1935944,"Invisible relations representations of female intimacy in the Age of Enlightenment",acbk,820.93538
1935944,"Lesbians in literature",1935944,"Invisible relations representations of female intimacy in the Age of Enlightenment",acbk,820.93538
1937969,"Gay couples Attitudes",1937969,"wedding a familys coming out story",acbk,306.848
1937969,"Gay male couples Attitudes",1937969,"wedding a familys coming out story",acbk,306.848
1937969,"Parents of gays Attitudes",1937969,"wedding a familys coming out story",acbk,306.848
1938038,"Gay men United States Fiction",1938038,"Fabulous hell",acbk,
1938218,"Gay communities",1938218,"Aceptate aceptalo como explicar y comprender las distintas orientaciones sexuales",acbk,306.766
1938218,"Gay community",1938218,"Aceptate aceptalo como explicar y comprender las distintas orientaciones sexuales",acbk,306.766
1938218,"Gays Family relationships",1938218,"Aceptate aceptalo como explicar y comprender las distintas orientaciones sexuales",acbk,306.766
1938218,"Parents of gays",1938218,"Aceptate aceptalo como explicar y comprender las distintas orientaciones sexuales",acbk,306.766
1938768,"Gay teenagers",1938768,"Reading between the labels",acvhs,306.76
1939571,"Lesbians Fiction",1939571,"Prozac highwy a novel",acbk,
1939684,"Gay consumers United States",1939684,"Selling out the gay and lesbian movement goes to market",acbk,306.30866
1939684,"Gay liberation movement United States",1939684,"Selling out the gay and lesbian movement goes to market",acbk,306.30866
1939684,"Lesbian consumers United States",1939684,"Selling out the gay and lesbian movement goes to market",acbk,306.30866
1939697,"Homosexuality Religious aspects Christianity Congresses",1939697,"Homosexuality science and the plain sense of scripture",acbk,261.83576
1939814,"Gay men Conduct of life",1939814,"Gay spirit warrior an empowerment workbook for men who love men",acbk,291.44086
1939814,"Gay men Religious life",1939814,"Gay spirit warrior an empowerment workbook for men who love men",acbk,291.44086
1939827,Gays,1939827,"Were here an investigation into gay reincarnation",acbk,133.90135
1939832,"Gay accommodations South Africa Guidebooks",1939832,"Travel guide to queer South Africa",acbk,916.80465
1939832,"Gays Travel South Africa Guidebooks",1939832,"Travel guide to queer South Africa",acbk,916.80465
1939959,"Gay teenagers United States",1939959,"Hate homophobia schools",acvhs,306.76
1940164,"Lesbian artists United States Biography",1940164,"Red Rose girls an uncommon story of art and love",acbk,759.13
1940331,"Gay men Fiction",1940331,"Light at dusk",acbk,
1940347,"Lesbians United States Fiction",1940347,"struggle for happiness",acbk,
1940476,"Gays Massachusetts Boston",1940476,"Theme murder",acvhs,364.15
1941658,"Gay erotic literature",1941658,"Flesh and the word 2 an anthology of erotic writing",acbk,
1941658,"Gay men Sexual behavior Literary collections",1941658,"Flesh and the word 2 an anthology of erotic writing",acbk,
1941658,"Gays writings American",1941658,"Flesh and the word 2 an anthology of erotic writing",acbk,
1942639,"Gay men in literature",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942639,"Gays writings American History and criticism",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942639,"Gays writings English History and criticism",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942639,"Homosexuality and literature Great Britain History 20th century",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942639,"Homosexuality and literature United States History 20th century",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942639,"Lesbians in literature",1942639,"Out on stage lesbian and gay theatre in the twentieth century",acbk,820.9352
1942711,"Lesbians Fiction",1942711,"Half moon scar",acbk,
1942715,"Gay men Fiction",1942715,"married man",acbk,
1943115,"Lesbians Fiction",1943115,Valencia,acbk,
1943776,"Gays in popular culture Islamic countries",1943776,"Islamic homosexualities culture history and literature",acbk,306.7662
1943776,"Homosexuality Islamic countries",1943776,"Islamic homosexualities culture history and literature",acbk,306.7662
1943776,"Homosexuality Islamic countries History",1943776,"Islamic homosexualities culture history and literature",acbk,306.7662
1943776,"Homosexuality Male Islamic countries",1943776,"Islamic homosexualities culture history and literature",acbk,306.7662
1943776,"Male homosexuality Islamic countries",1943776,"Islamic homosexualities culture history and literature",acbk,306.7662
1944049,"Gay musicians United States",1944049,"Gay American composers Volume two",accd,780
1944163,"Lesbians Fiction",1944163,"Crocodile soup",acbk,
1944480,"Gay couples United States",1944480,"essential guide to lesbian and gay weddings",acbk,395.22
1944588,"Gay men Fiction",1944588,Period,acbk,
1945540,"Gay men in literature",1945540,"Romantic genius the prehistory of a homosexual role",acbk,820.9353
1945540,"Homosexuality and literature Great Britain History 18th century",1945540,"Romantic genius the prehistory of a homosexual role",acbk,820.9353
1945540,"Homosexuality and literature Great Britain History 19th century",1945540,"Romantic genius the prehistory of a homosexual role",acbk,820.9353
1945540,"Lesbians in literature",1945540,"Romantic genius the prehistory of a homosexual role",acbk,820.9353
1945551,"Homosexuality and literature United States",1945551,"Queer poetics five modernist women writers",acbk,810.99206
1945551,"Lesbians writings American History and criticism",1945551,"Queer poetics five modernist women writers",acbk,810.99206
1945814,"Gay men Fiction",1945814,"Name games",acbk,
1945815,"Homosexuality Fiction",1945815,Jerome,acbk,
1945817,"Gay youth Fiction",1945817,"I married an earthling a novel",acbk,
1945819,"Gay bars Fiction",1945819,Canary,acbk,
1945820,"Lesbians Fiction",1945820,"6th sense a Cassidy James mystery",acbk,
1945821,"Lesbians Fiction",1945821,"5th wheel a Cassidy James mystery",acbk,
1945822,"Lesbians Fiction",1945822,"4th down a Cassidy James mystery",acbk,
1945823,"Lesbians Fiction",1945823,"3rd degree a Cassidy James mystery",acbk,
1945824,"Lesbians Fiction",1945824,"2nd fiddle a Cassidy James mystery",acbk,
1945826,"Lesbians Fiction",1945826,"Strangers in the night",acbk,
1945832,"Lesbians United States Fiction",1945832,"Cabin fever a Laney Samms mystery a novel of suspense",acbk,
1945833,"Jewish lesbians Fiction",1945833,"Endless love",acbk,
1945834,"African American lesbians Fiction",1945834,"Loving her",acbk,
1945834,"Lesbians United States Fiction",1945834,"Loving her",acbk,
1945835,"Lesbians Fiction",1945835,"When the dancing stops the first Brett Higgins mystery",acbk,
1945836,"Lesbians Fiction",1945836,"When the dead speak the second Brett Higgins mystery",acbk,
1945837,"Lesbians Fiction",1945837,"When some body disappears the third Brett Higgins mystery",acbk,
1945838,"Lesbians Sexual behavior Fiction",1945838,"Friday the rabbi wore lace Jewish lesbian erotica",acbk,
1945838,"Lesbians writings American",1945838,"Friday the rabbi wore lace Jewish lesbian erotica",acbk,
1945840,"Lesbians Fiction",1945840,"Piece of my heart",acbk,
1945902,"Gay men Drama",1945902,"Visiting Mr Green",acbk,812.54
1946920,"Gay teenagers Indiana Fiction",1946920,"Ancient prejudice break to new mutiny",acbk,
1946948,"Bisexual students Florida Interviews",1946948,"Reaching out to lesbian gay bisexual youth",acvhs,306.766
1946948,"Gay students Florida Interviews",1946948,"Reaching out to lesbian gay bisexual youth",acvhs,306.766
1946948,"Lesbian students Florida Interviews",1946948,"Reaching out to lesbian gay bisexual youth",acvhs,306.766
1946985,"Lesbians Social networks",1946985,"art of meeting women a guide for gay women how to meet the women you want to meet",acbk,305.48966
1947002,"Gay couples",1947002,"Mr Right is out there the gay mans guide to finding and maintaing love",acbk,646.77086
1949034,"Lesbians Humor",1949034,"Nothing in my closet but my clothes",accd,792.7
1949696,"Homosexuality Male Great Britain History 16th century",1949696,"King James and the history of homosexuality",acbk,941.06109
1949696,"Homosexuality Male Great Britain History 17th century",1949696,"King James and the history of homosexuality",acbk,941.06109
1949696,"Homosexuality Male Scotland History",1949696,"King James and the history of homosexuality",acbk,941.06109
1949696,"Male homosexuality Great Britain History 16th century",1949696,"King James and the history of homosexuality",acbk,941.06109
1949696,"Male homosexuality Great Britain History 17th century",1949696,"King James and the history of homosexuality",acbk,941.06109
1949696,"Male homosexuality Scotland History",1949696,"King James and the history of homosexuality",acbk,941.06109
1949893,"Gay men Fiction",1949893,"My best man",acbk,
1950125,"Lesbians Fiction",1950125,"Booked for murder the fifth Lindsay Gordon mystery",acbk,
1950152,"Lesbians Fiction",1950152,"silk road a novel",acbk,
1951181,"Gay coaches Athletics United States Biography",1951181,"Trailblazing the true story of Americas first openly gay track coach",acbk,796.42092
1951445,"Gay men New York State New York Fiction",1951445,"New York years",acbk,
1951445,"Gay men New York State New York Fiction",1951445,"New York years stories",acbk,
1951474,"Gays Fiction",1951474,"Ratz are nice PSP",acbk,
1951476,"Lesbians Fiction",1951476,"No mercy",acbk,
1953399,"Gay men Fiction",1953399,"Nothing gold can stay",acbk,
1953655,"Gay men United States Family relationships",1953655,"boy with the thorn in his side a memoir",acbk,813.54
1953770,"Lesbians Sexual behavior",1953770,"Lesbian sex secrets for men what every man wants to know about making love to a woman and never asks",acbk,613.96
1954307,"Gay men Drama",1954307,"3 plays",acbk,812.54
1954385,"Gay men Fiction",1954385,"National Nancys",acbk,
1955294,"Lesbians Fiction",1955294,"Summit Avenue a novel",acbk,
1955819,"Homosexuality Religious aspects Catholic Church",1955819,"silence of Sodom homosexuality in modern Catholicism",acbk,261.83576
1956857,"Homosexuality Male Moral and religeous aspects",1956857,"high priesthood of being gay an ontology",acbk,176
1956857,"Homosexuality Religious aspects",1956857,"high priesthood of being gay an ontology",acbk,176
1956857,"Male homosexuality Moral and religeous aspects",1956857,"high priesthood of being gay an ontology",acbk,176
1956909,"Lesbianism in motion pictures",1956909,"Girl reel a lesbian remembers growing up at the movies memoir",acbk,791.43653
1957020,"Gays in popular culture",1957020,"Queer frontiers millennial geographies genders and generations",acbk,306.76601
1957020,"Homosexuality in literature",1957020,"Queer frontiers millennial geographies genders and generations",acbk,306.76601
1957020,"Homosexuality Philosophy",1957020,"Queer frontiers millennial geographies genders and generations",acbk,306.76601
1957020,"Homosexuality Political aspects",1957020,"Queer frontiers millennial geographies genders and generations",acbk,306.76601
1957021,"Gay men United States Life skills guides",1957021,"Coming out a handbook for men",acbk,306.7662
1957029,"Middle aged gay men United States Attitudes",1957029,"Golden men the power of gay midlife",acbk,305.244
1957029,"Middle aged gay men United States Psychology",1957029,"Golden men the power of gay midlife",acbk,305.244
1957029,"Middle aged gay men United States Social conditions",1957029,"Golden men the power of gay midlife",acbk,305.244
1957184,"Lesbians Great Britain Biography",1957184,"Amy Levy her life and letters",acbk,
1957203,"Gay men Health and hygiene",1957203,"Men like us the GMHC complete guide to gay mens sexual physical and emotional well being",acbk,613.08664
1957203,"Gay men Mental health",1957203,"Men like us the GMHC complete guide to gay mens sexual physical and emotional well being",acbk,613.08664
1957203,"Gay men Sexual behavior",1957203,"Men like us the GMHC complete guide to gay mens sexual physical and emotional well being",acbk,613.08664
1957204,"Gays United States",1957204,"Brave journeys profiles in gay and lesbian courage",acbk,306.76609
1957204,"Homosexuality United States",1957204,"Brave journeys profiles in gay and lesbian courage",acbk,306.76609
1957204,"Lesbianism United States",1957204,"Brave journeys profiles in gay and lesbian courage",acbk,306.76609
1957204,"Lesbians United States",1957204,"Brave journeys profiles in gay and lesbian courage",acbk,306.76609
1957205,"Gay adoption United States",1957205,"Queer families common agendas gay people lesbians and family values",acbk,306.7
1957205,"Gay fathers United States",1957205,"Queer families common agendas gay people lesbians and family values",acbk,306.7
1957205,"Gay men United States Family relationships",1957205,"Queer families common agendas gay people lesbians and family values",acbk,306.7
1957205,"Lesbian mothers United States",1957205,"Queer families common agendas gay people lesbians and family values",acbk,306.7
1957205,"Lesbians United States Family relationships",1957205,"Queer families common agendas gay people lesbians and family values",acbk,306.7
1957206,"Gay men Family relationships Psychological aspects",1957206,"Out of the twilight fathers of gay men speak",acbk,306.8742
1957206,"Homosexuality Male Psychological aspects",1957206,"Out of the twilight fathers of gay men speak",acbk,306.8742
1957206,"Parents of gays Psychology",1957206,"Out of the twilight fathers of gay men speak",acbk,306.8742
1957206,"Psychoanalysis and homosexuality",1957206,"Out of the twilight fathers of gay men speak",acbk,306.8742
1957207,"Gay men",1957207,"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",acbk,305.88966
1957207,"Gay men Humor",1957207,"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",acbk,305.88966
1957207,"Gay men Social life and customs 20th century",1957207,"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",acbk,305.88966
1957207,"Homosexuality Male",1957207,"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",acbk,305.88966
1957207,"Male homosexuality",1957207,"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",acbk,305.88966
1957208,"Children of gay parents United States",1957208,"Midlife lesbian relationships friends lovers children and parents",acbk,305.244
1957208,"Lesbian couples United States",1957208,"Midlife lesbian relationships friends lovers children and parents",acbk,305.244
1957208,"Lesbian mothers United States",1957208,"Midlife lesbian relationships friends lovers children and parents",acbk,305.244
1957208,"Middle aged lesbians United States Family relationships",1957208,"Midlife lesbian relationships friends lovers children and parents",acbk,305.244
1957209,"Rural lesbians Oregon Myrtle Creek Biography",1957209,"Weeding at dawn a lesbian country life",acbk,305.48966
1957210,"Gay fathers Counseling of United States",1957210,"Gay fathers encouraging the hearts of gay dads and their families",acbk,306.8742
1957210,"Gay fathers United States",1957210,"Gay fathers encouraging the hearts of gay dads and their families",acbk,306.8742
1957212,"Gay men Fiction",1957212,"Briefly told lives",acbk,
1957213,"Gay men",1957213,"Gay planet all things for all gay men",acbk,305.38966
1957214,"Lesbian couples United States",1957214,"Lesbian couples a guide to creating healthy relationships",acbk,305.48966
1957214,"Lesbians United States Life skills guides",1957214,"Lesbian couples a guide to creating healthy relationships",acbk,305.48966
1957546,Gays,1957546,"trouble with normal sex politics and the ethics of queer life",acbk,306.766
1957546,Homosexuality,1957546,"trouble with normal sex politics and the ethics of queer life",acbk,306.766
1957625,"Lesbians Fiction",1957625,"Bleeding out a mystery",acbk,
1957651,"Gay youth Fiction",1957651,"Martin Bauman or A sure thing",acbk,
1957659,"Gay youth Fiction",1957659,Troublemaker,acbk,
1958712,"Balliet Gay Louis 1952",1958712,"Lowell the true story of an existential pig",acbk,636.4
1958983,"Lesbians Attitudes",1958983,"Lesbians levis and lipstick the meaning of beauty in our lives",acbk,305.48966
1958984,"Middle aged lesbians Middle West",1958984,"Lesbian epiphanies women coming out in later life",acbk,305.244
1959782,"Gays New York State New York Fiction",1959782,"Manhattan loverboy",acbk,
1959791,"Gay men Fiction",1959791,"limits of justice a Benjamin Justice mystery",acbk,
1959857,"Homosexuality and education United States",1959857,"Queering elementary education advancing the dialogue about sexualities and schooling",acbk,371.011
1959894,"Homosexuality Fiction",1959894,"November ever after",acbk,
1959894,"Lesbians Fiction",1959894,"November ever after",acbk,
1960114,"Lesbians Sexual behavior Fiction",1960114,"Kamikaze lust",acbk,
1960225,"Gay men Medical care",1960225,"Smearing the queer medical bias in the health care of gay men",acbk,362.10866
1960262,"Gay men Australia Drama",1960262,"adventures of Priscilla queen of the desert",acdvd,
1960953,"Gay men Sexual behavior Fiction",1960953,"Best of the best gay erotica",acbk,
1961309,"Lesbians Sexual behavior Fiction",1961309,"Best of the best lesbian erotica",acbk,
1963022,"Gays United States Quotations",1963022,"In or out gay and straight stars talk about themselves and each other",acbk,305.38966
1963022,"Homosexuality United States Quotations maxims etc",1963022,"In or out gay and straight stars talk about themselves and each other",acbk,305.38966
1963051,"Lesbians Fiction",1963051,"Miss Pettibone and Miss McGraw",acbk,
1963224,"Gay men Fiction",1963224,"One dead drag queen",acbk,
1965196,"Gays Mexico Oaxaca de JuÃ‚Â rez",1965196,"Streets bedrooms patios the ordinariness of diversity in urban Oaxaca ethnographic portraits of the urban poor transvestites discapacitados and other popular cultures",acbk,306.09727
1966086,"Homosexuality United States",1966086,"Love Ellen a mother daughter journey",acbk,
1966086,"Lesbians United States Biography",1966086,"Love Ellen a mother daughter journey",acbk,
1966086,"Lesbians United States Family relationships Case studies",1966086,"Love Ellen a mother daughter journey",acbk,
1966086,"Parents of gays United States Biography",1966086,"Love Ellen a mother daughter journey",acbk,
1967332,"Lesbian artists United States",1967332,"Lesbian art in America a contemporary history",acbk,704.06643
1967332,"Lesbianism in art",1967332,"Lesbian art in America a contemporary history",acbk,704.06643
1967369,"Bisexual parents Family relationships United States",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Bisexual parents United States Family relationships",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Children of gay parents United States",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Gay fathers Family relationships United States",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Gay fathers United States Family relationships",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Lesbian mothers Family relationships United States",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967369,"Lesbian mothers United States Family relationships",1967369,"Out of the ordinary essays on growing up with gay lesbian and transgender parents",acbk,306.874
1967374,"Gay and lesbian studies Bibliography",1967374,"Readers guide to lesbian and gay studies",acbk,305.90664
1967374,"Gay and lesbian studies Handbooks manuals etc",1967374,"Readers guide to lesbian and gay studies",acbk,305.90664
1967416,"Lesbians in literature",1967416,"Interviews Entrevistas",acbk,818.5409
1967416,"Lesbians United States Interviews",1967416,"Interviews Entrevistas",acbk,818.5409
1967416,"Mexican American lesbians Interviews",1967416,"Interviews Entrevistas",acbk,818.5409
1967439,"Gay anthropologists Africa Biography",1967439,"In the arms of Africa the life of Colin M Turnbull",acbk,
1967439,"Gay anthropologists United States Biography",1967439,"In the arms of Africa the life of Colin M Turnbull",acbk,
1967598,"Gays Fiction",1967598,"night listener a novel",acbk,
1968131,"Homosexuality and literature Japan",1968131,"Cartographies of desire male male sexuality in Japanese discourse 1600 1950",acbk,306.76609
1968131,"Homosexuality in literature",1968131,"Cartographies of desire male male sexuality in Japanese discourse 1600 1950",acbk,306.76609
1968131,"Homosexuality Japan History",1968131,"Cartographies of desire male male sexuality in Japanese discourse 1600 1950",acbk,306.76609
1969462,"Gays Religious life",1969462,"Gay spirituality the role of gay identity in the transformation of human consciousness",acbk,291.17835
1969525,"Gay men Texas Drama",1969525,"Corpus Christi",acbk,812.54
1969593,"Gays Identity",1969593,"Homosexual rites of passage a road to visibility and validation",acbk,305.90664
1969594,"Gay men Thailand",1969594,"Lady boys tom boys rent boys male and female homosexualities in contemporary Thailand",acbk,306.76609
1969594,"Homosexuality Thailand",1969594,"Lady boys tom boys rent boys male and female homosexualities in contemporary Thailand",acbk,306.76609
1969594,"Lesbians Thailand",1969594,"Lady boys tom boys rent boys male and female homosexualities in contemporary Thailand",acbk,306.76609
1969824,"Homosexuality on radio United States",1969824,"Alternate channels the uncensored story of gay and lesbian images on radio and television",acbk,306.766
1969824,"Homosexuality on television United States",1969824,"Alternate channels the uncensored story of gay and lesbian images on radio and television",acbk,306.766
1969979,"Children of gay parents United States",1969979,"Home fronts controversies in nontraditional parenting",acbk,306.874
1969979,"Gay fathers United States",1969979,"Home fronts controversies in nontraditional parenting",acbk,306.874
1969979,"Gay parents United States",1969979,"Home fronts controversies in nontraditional parenting",acbk,306.874
1969979,"Lesbian mothers United States",1969979,"Home fronts controversies in nontraditional parenting",acbk,306.874
1969980,"Gay men Fiction",1969980,"Circa 2000 gay fiction at the millennium",acbk,
1969980,"Gay mens writings American",1969980,"Circa 2000 gay fiction at the millennium",acbk,
1971662,"Gay men New York State New York Fiction",1971662,"Between dances a novel",acbk,
1972149,"Gays Southern States History",1972149,"Carryin on in the lesbian and gay South",acbk,306.76609
1972149,"Homosexuality Southern States History",1972149,"Carryin on in the lesbian and gay South",acbk,306.76609
1972150,"Gay men Great Britain Biography",1972150,"Between the acts lives of homosexual men 1885 1967",acbk,305.38966
1972150,"Homosexuality Male Great Britain History 20th century",1972150,"Between the acts lives of homosexual men 1885 1967",acbk,305.38966
1972150,"Male homosexuality Great Britain History 20th century",1972150,"Between the acts lives of homosexual men 1885 1967",acbk,305.38966
1972151,"Bisexuality in art Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Bisexuality Mythology Dictionaries",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Bisexuality Religious aspects Dictionaries",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Homosexuality in art Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Homosexuality Mythology Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Homosexuality Religious aspects Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Lesbianism Mythology Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1972151,"Lesbianism Religious aspects Encyclopedias",1972151,"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",acbk,291.13086
1973323,"Gay men Fiction",1973323,"O beautiful a novel",acbk,
1974157,"Christian gays Mental health",1974157,"Coming out through fire surviving the trauma of homophobia",acbk,261.83576
1974157,"Christian gays Religious life",1974157,"Coming out through fire surviving the trauma of homophobia",acbk,261.83576
