distinct_bib,subject,out_bib,title,itemtype,deweyClass
213446,"Lesbians Alabama Montgomery Fiction",213446,"Southern discomfort",acbk,
214483,"Lesbians Fiction",214483,Outlander,acbk,
214525,"Homosexuality United States",214525,"Gayspeak gay male lesbian communication",acbk,306.76
214525,"Homosexuality United States Public opinion",214525,"Gayspeak gay male lesbian communication",acbk,306.76
259066,"Gay men United States",259066,"Gay and gray the older homosexual man",acbk,306.76
273876,Homosexuality,273876,"Homosexuality a cross cultural approach",acbk,176
300680,"Gay liberation movement United States History",300680,"Sexual politics sexual communities the making of a homosexual minority in the United States 1940 1970",acbk,306.76609
347706,"Gay teenagers United States Case studies",347706,"One teenager in ten writings by gay and lesbian youth",acbk,306.766
350480,Homosexuality,350480,Corydon,acbk,306.766
354299,"Gay men Fiction",354299,"Mae West is dead recent lesbian and gay fiction",acbk,
354299,"Gays writings",354299,"Mae West is dead recent lesbian and gay fiction",acbk,
354299,"Lesbians Fiction",354299,"Mae West is dead recent lesbian and gay fiction",acbk,
354299,"Lesbians writings",354299,"Mae West is dead recent lesbian and gay fiction",acbk,
363946,"Gay bars Massachusetts Fiction",363946,Slate,acbk,
370618,"Homosexuality Fiction",370618,"boys on the rock",acbk,
372997,Lesbianism,372997,"Sister outsider essays and speeches",acbk,814.54
374489,"Homosexuality Miscellanea",374489,"Another mother tongue gay words gay worlds",acbk,306.766
374489,"Homosexuality Terminology",374489,"Another mother tongue gay words gay worlds",acbk,306.766
374489,"Lesbianism Miscellanea",374489,"Another mother tongue gay words gay worlds",acbk,306.766
374489,"Lesbians United States Psychology",374489,"Another mother tongue gay words gay worlds",acbk,306.766
379628,"Homosexuality and literature Great Britain",379628,"memoirs of John Addington Symonds",acbk,
381196,"Gay men Poetry",381196,"bunch of keys selected poems",acbk,895.615
382995,"Gay men Drama",382995,"Gay plays",acbk,822.914
382995,"Gay mens writings English",382995,"Gay plays",acbk,822.914
385924,"Gay men Fiction",NULL,NULL,NULL,NULL
387587,"Lesbian nuns United States Biography",387587,"Lesbian nuns breaking silence",acbk,255.90088
388673,"Homosexuality and literature England History",388673,"Such is my love a study of Shakespeares sonnets",acbk,821.3
389781,"Rivers Gayle",389781,"specialist revelations of a counterterrorist",acbk,364.1524
390710,"Lesbian nuns Italy Biography",390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,
390710,"Lesbianism History",390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,
390710,"Lesbians Attitudes",390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",acbk,
393327,"Homosexuality Religious aspects Christianity",393327,"Beyond rejection the Church homosexuality and hope",acbk,261.83576
396307,"Lesbians Great Britain Biography",396307,"Una Troubridge the friend of Radclyffe Hall",acbk,
399335,"Gay men New York State Albany Fiction",399335,"Ice blues",acbk,
400595,"Hansen Gaylen C 1921 Exhibitions",400595,"Gaylen Hansen the paintings of a decade 1975 1985",acbk,759.13
401660,"Gay men Massachusetts Boston Fiction",401660,Catholic,acbk,
404647,"Gay men England London Biography",404647,"naked civil servant",acbk,
406402,"Male homosexuality Cross cultural studies",406402,"Male homosexuality in four societies Brazil Guatemala the Philippines and the United States",acbk,306.7662
408434,"Gay men Washington D C Biography",408434,"gentleman from Maryland the conscience of a gay conservative",acbk,
410681,"Abused lesbians United States",410681,"Naming the violence speaking out about lesbian battering",acbk,306.7663
410681,"Lesbians United States Psychology",410681,"Naming the violence speaking out about lesbian battering",acbk,306.7663
412606,"Gays United States Case studies",412606,"Cities on a hill a journey through contemporary American cultures",acbk,307.0973
413090,"Gay men United States Fiction",413090,"lost language of cranes",acbk,
414047,"Gay clergy United States Biography",414047,"Gay priest an inner journey",acbk,283.3
414047,"Homosexuality Religious aspects Christianity",414047,"Gay priest an inner journey",acbk,283.3
419326,"Gay men United States Interviews",419326,"Conversations with my elders",acbk,
426158,"Lesbianism Great Britain",426158,"ladies of Llangollen a study in romantic friendship",acbk,
426158,"Lesbians Great Britain Biography",426158,"ladies of Llangollen a study in romantic friendship",acbk,
433868,"Gay liberation movement History",433868,"rise of a gay and lesbian movement",acbk,306.76609
433868,"Homosexuality History",433868,"rise of a gay and lesbian movement",acbk,306.76609
434200,"Gays in literature",434200,"We can always call them Bulgarians the emergence of lesbians and gay men on the American stage",acbk,792.09747
434200,"Homosexuality Drama",434200,"We can always call them Bulgarians the emergence of lesbians and gay men on the American stage",acbk,792.09747
437442,"Homosexuality Dictionaries",437442,"Camp the lie that tells the truth",acbk,709.22
442085,"Gay clergy United States Correspondence",442085,"Kairos confessions of a gay priest",acbk,
454217,"Lesbians Psychology",454217,"Lesbian psychologies explorations and challenges",acbk,306.7663
454217,"Lesbians United States Psychology",454217,"Lesbian psychologies explorations and challenges",acbk,306.7663
457188,"Gay men Great Britain Biography",457188,"Conspiracy of silence the secret life of Anthony Blunt",acbk,
463119,"Lesbians Alabama Fiction",463119,"Fried green tomatoes at the Whistle Stop Cafe",acbk,
472482,"Homosexuality Psychological aspects",472482,"Male and female homosexuality psychological approaches",acbk,616.85834
472482,"Homosexuality Social aspects",472482,"Male and female homosexuality psychological approaches",acbk,616.85834
472792,"Bisexuality in marriage United States Case studies",472792,"Bisexual spouse different dimensions in human sexuality",acbk,306.765
472792,"Homosexuality United States",472792,"Bisexual spouse different dimensions in human sexuality",acbk,306.765
479454,"Gay men History Miscellanea",479454,"gay book of lists",acbk,306.766
479454,"Homosexuality History Miscellanea",479454,"gay book of lists",acbk,306.766
479542,Homosexuality,NULL,NULL,NULL,NULL
479542,"Homosexuality Religious aspects",NULL,NULL,NULL,NULL
480888,"Homosexuality Male Indonesia Irian Jaya",480888,"Where the spirits dwell an odyssey in the New Guinea jungle",acbk,306.70899
480888,"Male homosexuality Indonesia Irian Jaya",480888,"Where the spirits dwell an odyssey in the New Guinea jungle",acbk,306.70899
481635,Bisexuality,481635,"Gay personality and sexual labeling",acbk,306.765
481635,Homosexuality,481635,"Gay personality and sexual labeling",acbk,306.765
483109,"Gay men Fiction",483109,"beautiful room is empty",acbk,
486010,"Lesbians Fiction",486010,"Miss Venezuela",acbk,
488282,"Homosexuality Male",488282,"Male homosexuality a contemporary psychoanalytic perspective",acbk,616.85834
488282,"Male homosexuality",488282,"Male homosexuality a contemporary psychoanalytic perspective",acbk,616.85834
489148,"Lesbians Great Britain Biography",489148,"Charlotte Mew and her friends with a selection of her poems",acbk,
491202,"Gay men Drama",491202,"Out front contemporary gay and lesbian plays",acbk,812.5208
491202,"Gays writings American",491202,"Out front contemporary gay and lesbian plays",acbk,812.5208
491202,"Lesbians Drama",491202,"Out front contemporary gay and lesbian plays",acbk,812.5208
491202,"Lesbians writings American",491202,"Out front contemporary gay and lesbian plays",acbk,812.5208
491602,"Lesbians Fiction",491602,"Annie on my mind",acbk,
493961,"Lesbians in literature",493961,"Where the meanings are",acbk,809.89287
494833,"Homosexuality Male",494833,"Ground zero",acbk,362.19697
494833,"Male homosexuality",494833,"Ground zero",acbk,362.19697
495591,"Gay men in literature",495591,"Articulate flesh male homo eroticism and modern poetry",acbk,821.91093
495591,"Gays writings History and criticism",495591,"Articulate flesh male homo eroticism and modern poetry",acbk,821.91093
